Owner,total_capacity,plant_count,avg_environment,avg_environment_log,country_count,country_names,Latitude_plant,Longitude_plant,Nominal crude steel capacity (ttpa),Subnational unit (province/state),Country/Area,distance_km
POSCO Holdings Inc,40700,2,3492829.6574380747,15.063,1,['South Korea'],34.920086,127.74865,22999,South Jeolla,South Korea,182.79
Nippon Steel Corp,36745,8,11847803624.220758,23.008125,1,['Japan'],35.360912,139.881953,10001,Chiba,Japan,8.717
Angang Steel Co Ltd,30250,3,17992253793.146187,22.999,1,['China'],41.148267,122.983054,20650,Liaoning,China,4.405
JSW Steel Ltd,28359,4,479004731.0376538,19.91875,1,['India'],15.180423,76.663134,11899,Karnataka,India,5.328
Cleveland-Cliffs Inc,27727,10,54845.7167400889,10.912,2,"['Canada', 'United States']",41.669553,-87.438429,6800,Indiana,United States,17488.321
Hyundai Steel Co,24297,3,95621023.6916001,16.576,1,['South Korea'],36.986282,126.69735,16200,South Chungcheong,South Korea,440.372
JFE Steel Corp,20469,4,18928062727.501682,23.50675,1,['Japan'],34.465222,133.431205,13002,Hiroshima,Japan,6.325
Steel Authority of India Ltd,20132,6,3328876070.6932907,21.692833333333336,1,['India'],21.185157,81.394207,6999,Chhattisgarh,India,3.497
Baoshan Iron & Steel Co Ltd,19800,1,72345769161.90762,25.005,1,['China'],31.41623,121.440087,19800,Shanghai,China,5.748
Tata Steel Ltd,19720,3,1892168346.6997492,17.76066666666667,2,"['India', 'Singapore']",22.788598,86.1996,11000,Jharkhand,India,1.04
Nucor Corp,17737,11,54845.716740088894,10.912,1,['United States'],33.004319,-79.880955,2956,South Carolina,United States,16525.824
Zhangjiagang Hongchang Steel Co Ltd,16947,1,5778523153.580064,22.477,1,['China'],31.983146,120.638992,16947,Jiangsu,China,3.609
Wuhan Iron and Steel Co Ltd,15907,1,13274108766.720098,23.309,1,['China'],30.616222,114.444975,15907,Hubei,China,1.871
Inner Mongolia BaoTou Steel Union Co Ltd,15610,1,563557793.4713724,20.15,1,['China'],40.647997,109.740898,15610,Inner Mongolia,China,4.952
Maanshan Iron & Steel Co Ltd,15480,1,14161932205.740225,23.374,1,['China'],31.698884,118.468194,15480,Anhui,China,1.653
Hunan Valin Lianyuan Iron and Steel Co Ltd,15200,2,4608518568.66061,22.2425,1,['China'],27.747782,111.967343,7950,Hunan,China,5.061
Magnitogorskiy Metallurgicheskiy Kombinat PJSC,14500,1,53608.378286734944,10.889,1,['Russia'],53.427593,59.054122,14500,Chelyabinsk,Russia,2739.612
Novolipetsk Steel PJSC,14400,1,69838.97000546272,11.154,1,['Russia'],52.557372,39.629574,14400,Lipetsk,Russia,4332.654
Mobarakeh Steel Co,14100,4,466453.1293396036,12.71125,1,['Iran'],32.244,51.4263,10000,Isfahan,Iran,2120.698
Shougang Jingtang United Iron & Steel Co Ltd,13700,1,102371633.8710309,18.444,1,['China'],38.953664,118.50339,13700,Hebei,China,4.313
Steel Dynamics Inc,12562,6,54845.716740088894,10.912,1,['United States'],33.44758,-88.572683,3400,Mississippi,United States,17495.141
Baosteel Zhanjiang Iron & Steel Co Ltd,12528,1,1178377706.3453572,20.887,1,['China'],21.056035,110.48657,12528,Guangdong,China,3.58
Shanxi Taigang Stainless Steel Co Ltd,12460,1,24668432523.352684,23.929,1,['China'],37.931488,112.539321,12460,Shanxi,China,3.798
Bengang Steel Plates Co Ltd,12400,1,10302505895.931911,23.056,1,['China'],41.274132,123.722099,12400,Liaoning,China,3.016
Severstal PJSC,12001,1,39476.332703073494,10.583,1,['Russia'],59.143998,37.86295,12001,Vologda,Russia,5231.892
United States Steel Corp,12000,3,54845.716740088894,10.912,1,['United States'],41.620799,-87.348266,7800,Indiana,United States,17477.393
Hoa Phat Dung Quat Steel JSC,11600,1,41976974.40122482,17.553,1,['Vietnam'],15.37768,108.793321,11600,Quang Ngai,Vietnam,344.582
Rizhao Steel Holding Group Co Ltd,11300,1,784949051.4879102,20.481,1,['China'],35.16535,119.366672,11300,Shandong,China,5.928
Zhangjiagang Rongsheng Steel-Making Co Ltd,10571,1,5778523153.580064,22.477,1,['China'],31.985496,120.644565,10571,Jiangsu,China,4.177
Government of North Korea,10252,4,139712307.99322653,15.399000000000001,1,['North Korea'],41.753784,129.752681,6000,North Hamgyeong,North Korea,96.067
Hebei Donghai SPECIAL Steel Group Co Ltd,10001,1,1222250055.6719754,20.924,1,['China'],39.610605,118.474722,10001,Hebei,China,2.767
Xinyu Iron & Steel Corp Ltd,10001,1,7022275672.93845,22.672,1,['China'],27.786859,114.921595,10001,Jiangxi,China,4.134
Nanjing Iron & Steel Co Ltd,10000,1,11508667093.45597,23.166,1,['China'],32.200797,118.746315,10000,Jiangsu,China,4.343
China Steel Corp,10000,1,6424764739.207487,22.583,1,['Taiwan'],22.555442,120.349252,10000,Kaohsiung,Taiwan,316.305
Hebei Yanshan Iron and Steel Group Co Ltd,9990,1,4245679723.9297485,22.169,1,['China'],39.925508,118.672757,9990,Hebei,China,6.197
Guangxi Shenglong Metallurgical Co Ltd,9783,1,954514098.9683073,20.677,1,['China'],21.687637,108.412344,9783,Guangxi,China,4.84
Jindal Steel & Power Ltd,9600,2,361597254.85873556,19.700499999999998,1,['India'],20.884896,84.991539,6000,Odisha,India,3.88
ArcelorMittal Nippon Steel India Ltd,9600,1,3529225319.3115263,21.984,1,['India'],21.112377,72.647304,9600,Gujarat,India,2.904
Liuzhou IRON&STEEL Co Ltd,9458,1,21236255107.045433,23.779,1,['China'],24.385304,109.37963,9458,Guangxi,China,1.361
Evraz ZSMK JSC,8760,1,4757.440346019543,8.468,1,['Russia'],53.88618,87.257618,8760,Kemerovskaya,Russia,852.659
SGIS Songshan Co Ltd,8698,1,2904267538.2436757,21.789,1,['China'],24.708232,113.635898,8698,Guangdong,China,1.213
Shandong IRON&STEEL Group Rizhao Co Ltd,8500,1,784949051.4879102,20.481,1,['China'],35.188969,119.383723,8500,Shandong,China,2.811
Guangxi Iron and Steel Group Co Ltd,8400,1,226557645.65927386,19.239,1,['China'],21.580723,108.400896,8400,Guangxi,China,8.306
Chongqing Iron & Steel Co Ltd,8400,1,3087923383.6047015,21.851,1,['China'],29.790253,107.040368,8400,Chongqing,China,0.232
ArcelorMittal Brasil SA,8200,6,64633.832128563045,11.077,1,['Brazil'],-3.585917,-38.858932,3000,Ceará,Brazil,12317.045
Chengde Street Ltd,8000,1,896245650.7992102,20.614,1,['China'],40.947707,117.719747,8000,Hebei,China,2.017
Acciaierie d'italia SpA,7800,1,54845.716740088894,10.912,1,['Italy'],40.508993,17.207589,7800,Province of Taranto,Italy,6089.452
Hebei Zongheng Group Fengnan Iron & Steel Co Ltd,7700,1,452880777.8970651,19.931,1,['China'],39.222566,118.094201,7700,Hebei,China,3.992
Shanghai Meishan Iron & Steel Co Ltd,7600,1,3051454698.510215,21.839,1,['China'],31.902969,118.61667,7600,Jiangsu,China,3.782
ArcelorMittal Tubarão Comercial SA,7500,1,64633.832128563045,11.077,1,['Brazil'],-20.253447,-40.242298,7500,Espírito Santo,Brazil,13071.268
Cangzhou China Railway Equipment Manufacturing Materials Co Ltd,7500,1,477468708.0493724,19.984,1,['China'],38.289221,117.814367,7500,Hebei,China,2.551
Formosa Ha Tinh Steel Corp,7500,1,200633874.6120598,19.117,1,['Vietnam'],18.036333,106.428271,7500,Ha Tinh,Vietnam,260.638
HBIS Laoting Steel Co Ltd,7450,1,658638310.9064554,20.306,1,['China'],39.257823,119.033567,7450,Hebei,China,4.95
Rashtriya Ispat Nigam Ltd,7302,1,4255549611.1018696,22.171,1,['India'],17.612846,83.191918,7302,Andhra Pradesh,India,2.314
Baosteel Group Xinjiang Bayi Iron & Steel Co Ltd,7300,1,931469524.817334,20.652,1,['China'],43.852147,87.304639,7300,Xinjiang,China,3.813
Hebei Anfeng Iron & Steel Co Ltd,7100,1,301142693.52749974,19.523,1,['China'],39.65849,118.894804,7100,Hebei,China,5.32
Dexin Steel Pte Ltd,7000,1,41976974.40122482,17.553,1,['Indonesia'],-2.829514,122.174896,7000,Central Sulawesi,Indonesia,2752.509
Sansteel Minguang Co Ltd Fujian,6799,1,3154692864.404899,21.872,1,['China'],26.261109,117.614709,6799,Fujian,China,3.963
ArcelorMittal Atlantique et Lorraine SAS,6750,1,293.8831668379416,5.687,1,['France'],51.041274,2.292948,6750,Haus-de-France,France,8156.736
Lianfeng Steel (Zhangjiagang) Co Ltd,6720,1,3289812339.6058364,21.914,1,['China'],31.855205,120.730505,6720,Jiangsu,China,3.581
Tianjin Iron and Steel Group Co Ltd,6650,1,7120436820.791538,22.686,1,['China'],39.031083,117.499246,6650,Tianjin,China,4.8
ArcelorMittal México SA de CV,6500,1,64633.832128563045,11.077,1,['Mexico'],17.930688,-102.201498,6500,Michoacán,Mexico,18982.06
Jingye Iron and Steel Co Ltd,6400,1,310050323.594974,19.552,1,['China'],38.391372,114.139998,6400,Hebei,China,2.862
Beijing Shougang Co Ltd,6300,1,1205952791.2560177,20.911,1,['China'],39.976702,118.558788,6300,Hebei,China,3.279
Companhia Siderúrgica Nacional SA,6251,1,64633.832128563045,11.077,1,['Brazil'],-22.512631,-44.11287,6251,Rio de Janeiro,Brazil,13573.027
Tosyali Ironsteel Industry Algerie SpA,6200,1,54845.716740088894,10.912,1,['Algeria'],35.770912,-0.263031,6200,Oran,Algeria,7774.428
Fujian Sanbao Steel Co Ltd,6196,1,1437201755.3926136,21.086,1,['China'],24.635769,117.603677,6196,Fujian,China,2.715
Gerdau Ameristeel Corp,6193,7,54845.716740088894,10.912,2,"['Canada', 'United States']",32.457544,-97.034246,1500,Texas,United States,18426.711
Dragon Steel Corp,6081,1,143851074.280014,18.784,1,['Taiwan'],24.226897,120.493911,6081,Taichung,Taiwan,160.32
Guangxi Guixin Steel Group Co Ltd,6050,1,90031801.82740928,18.316,1,['China'],23.978962,111.735523,6050,Guangxi,China,3.934
Big River Steel LLC,6022,1,54845.716740088894,10.912,1,['United States'],35.644264,-89.941659,6022,Arkansas,United States,17670.122
ArcelorMittal SA,6000,4,27569.79995346342,8.2995,4,"['Belgium', 'Luxembourg', 'Morocco', 'United States']",51.169929,3.804462,2500,Vlaanderen,Belgium,7998.378
Toscelik Profil ve Sac Endustrisi AS,6000,2,603655.6002061085,13.311,1,['Türkiye'],36.687943,36.214871,4000,Hatay,Türkiye,3916.959
Saudi Iron and Steel Co,6000,1,54845.716740088894,10.912,1,['Saudi Arabia'],27.018411,49.576356,6000,Eastern Province,Saudi Arabia,2110.006
Qazaqstan Steel Group LLP,6000,1,53608.378286734944,10.889,1,['Kazakhstan'],50.031766,72.994863,6000,Karaganda,Kazakhstan,1144.093
Lingyuan Iron & Steel Co Ltd,5994,1,1351875952.0510519,21.025,1,['China'],41.271048,119.41374,5994,Liaoning,China,5.285
Anyang Iron & Steel Co Ltd,5950,1,17037663839.757977,23.559,1,['China'],36.122129,114.283145,5950,Henan,China,1.028
Jiangyin Xingcheng SPECIAL Steel Works Co Ltd,5900,1,4429745806.121701,22.212,1,['China'],31.950191,120.328449,5900,Jiangsu,China,5.291
Panzhihua Steel Group Panzhihua Steel Vanadium Co Ltd,5900,1,9319315191.657978,22.955,1,['China'],26.565265,101.673737,5900,Sichuan,China,4.843
Zenith Steel Group (Nantong) Co Ltd,5850,1,1230988127.1191046,20.931,1,['China'],32.133954,121.513173,5850,Jiangsu,China,12.534
Iskenderun Demir ve Celik AŞ,5800,1,603655.6002061085,13.311,1,['Türkiye'],36.735672,36.204581,5800,Hatay,Türkiye,3920.175
Chelyabinskiy Metallurgicheskiy Kombinat PJSC,5799,1,53608.378286734944,10.889,1,['Russia'],55.27073,61.436492,5799,Chelyabinsk,Russia,2738.428
Qian'an City Jiujiang Wire Co Ltd,5729,1,1205952791.2560177,20.911,1,['China'],39.952209,118.559444,5729,Hebei,China,2.17
Tangshan Ganglu Iron & Steel Co Ltd,5614,1,392661136.5966965,19.788,1,['China'],40.183913,118.073913,5614,Hebei,China,5.055
Hebei Puyang Iron and Steel Co Ltd,5567,1,313791587.31473416,19.564,1,['China'],36.733675,113.925995,5567,Hebei,China,5.034
Tata Steel BSL Ltd,5510,1,523384374.02003706,20.076,1,['India'],20.796053,85.260382,5510,Odisha,India,3.522
Rizhao Steel Yingkou Medium Plate Co Ltd,5500,1,1444886964.8755352,21.091,1,['China'],40.671136,122.395441,5500,Liaoning,China,5.916
Promsort LLC,5500,3,64428.772765886795,11.065666666666667,1,['Russia'],54.156726,37.725551,2000,Tula,Russia,4663.053
Tangshan Donghai Iron and Steel Group Co Ltd,5499,1,770999040.1643324,20.463,1,['China'],39.748373,118.624794,5499,Hebei,China,5.796
Alchevsk Metallurgical Plant PJSC,5472,1,293.8831668379416,5.687,1,['Ukraine'],48.478111,38.770787,5472,Luhansk,Ukraine,4132.75
ArcelorMittal España SA,5400,2,54845.716740088894,10.912,1,['Spain'],43.554741,-5.87259,4200,Asturias,Spain,8664.609
Zhongxin Iron and Steel Group Co Ltd,5400,1,2852869883.3872247,21.772,1,['China'],34.368618,118.31556,5400,Jiangsu,China,2.796
Shandong Iron & Steel Group Yongfeng Lingang Corp,5400,1,238915176.01580334,19.292,1,['China'],35.137061,119.068319,5400,Shandong,China,3.391
Ternium Brasil Ltda,5200,1,64633.832128563045,11.077,1,['Brazil'],-22.912549,-43.741614,5200,Rio de Janeiro,Brazil,13553.868
Commercial Metals Co,5076,7,54845.716740088894,10.912,1,['United States'],29.577459,-98.032017,943,Texas,United States,18519.451
Wuyang Iron and Steel Co Ltd,5040,1,642394331.888709,20.281,1,['China'],33.287536,113.474328,5040,Henan,China,1.864
Laiwu Steel Yinshan Section Co Ltd,5001,1,1723461254.4344203,21.268,1,['China'],36.106143,117.820108,5001,Shandong,China,4.096
Içdaş Çelik Enerji Tersane Ve Ulaşim Sanayi AŞ,5001,1,603655.6002061085,13.311,1,['Türkiye'],40.441491,27.137563,5001,Çanakkale,Türkiye,5048.826
ArcelorMittal Poland SA,5001,1,293.8831668379416,5.687,1,['Poland'],50.342417,19.285037,5001,Silesia,Poland,6294.999
Hebei Jinxi Iron & Steel Group Co Ltd,5000,1,251849587.08247745,19.344,1,['China'],40.209844,118.220547,5000,Hebei,China,1.377
Usinas Siderurgicas de Minas Gerais SA,5000,1,64633.832128563045,11.077,1,['Brazil'],-19.491277,-42.544253,5000,Minas Gerais,Brazil,13274.6
Tangshan Songting IRON&STEEL Co Ltd,5000,1,1205952791.2560177,20.911,1,['China'],39.938866,118.576678,5000,Hebei,China,4.815
Hebei Xinda Iron and Steel Co Ltd,5000,1,796505445.106471,20.496,1,['China'],39.898362,118.579364,5000,Hebei,China,5.394
Khouzestan Steel Co,4950,2,54845.716740088894,10.912,1,['Iran'],31.270091,48.732904,3600,Khouzestan,Iran,2358.925
Tianjin Iron PLANT Co Ltd,4870,1,1279452525.6709294,20.97,1,['China'],36.58967,113.745792,4870,Hebei,China,6.434
Guangxi Chiji Iron and Steel Co Ltd,4800,1,105313275.99139243,18.472,1,['China'],23.402121,111.134606,4800,Guangxi,China,3.459
Shanxi Jinnan Iron and Steel Group Co Ltd,4800,1,162446633.34105244,18.906,1,['China'],35.678541,111.51465,4800,Shanxi,China,5.072
Tokyo Steel Manufacturing Co Ltd,4786,4,18429753186.74529,23.4255,1,['Japan'],34.702012,137.249114,2600,Aichi,Japan,4.814
Kardemir Karabuk Demir Çelik Sanayi Ve Ticaret AŞ,4751,2,603655.6002061085,13.311,1,['Türkiye'],41.180307,32.634343,3501,Karabük,Türkiye,4526.515
Shanxi Jianlong Industrial Co Ltd,4750,1,384406160.84900844,19.767,1,['China'],35.417405,111.303919,4750,Shanxi,China,5.756
Gansu Jiu Steel Group Hongxing Iron and Steel Co Ltd,4734,1,7871975322.062651,22.787,1,['China'],39.812121,98.295555,4734,Gansu,China,2.995
JiuJiang PXSteel Co Ltd,4700,1,478146017.5263399,19.985,1,['China'],29.778431,116.27527,4700,Jiangxi,China,2.493
Shiheng SPECIAL Steel Group Co Ltd,4650,1,1341653440.6361408,21.017,1,['China'],36.229201,116.533981,4650,Shandong,China,3.004
Jincheng FUSHENG Iron & Steel Co Ltd,4600,1,981005265.3164757,20.704,1,['China'],35.662985,112.882395,4600,Shanxi,China,5.268
Tonghua Iron & Steel Co Ltd,4590,1,601217158.3271072,20.214,1,['China'],41.779125,126.022349,4590,Jilin,China,2.851
Kobe Steel Ltd,4536,1,25378988214.594116,23.957,1,['Japan'],34.720268,134.826275,4536,Hyogo,Japan,5.66
US Steel Košice sro,4500,1,293.8831668379416,5.687,1,['Slovakia'],48.612001,21.191401,4500,Košice Region,Slovakia,6013.265
DeAcero SAPI de CV,4500,2,59739.77443432597,10.9945,1,['Mexico'],20.518556,-100.925556,2300,Guanajuato,Mexico,18831.597
Tangshan RUIFENG Steel and Iron (GROUP) Co Ltd,4500,1,438464931.03294915,19.899,1,['China'],39.497472,118.272056,4500,Hebei,China,6.052
Habas Industrial and Medical Gases Production Industries AŞ,4500,1,603655.6002061085,13.311,1,['Türkiye'],38.751462,26.950172,4500,İzmir,Türkiye,4987.274
Tianjin Tiangang UNITED SPECIAL Steel Co Ltd,4500,1,10311114379.091043,23.056,1,['China'],39.300258,117.800231,4500,Tianjin,China,1.561
Çolakoğlu Metalürji AŞ,4500,1,603655.6002061085,13.311,1,['Türkiye'],40.768409,29.529979,4500,Kocaeli,Türkiye,4818.847
Hanshan Iron and Steel Co Ltd,4488,1,296202759.7826058,19.507,1,['China'],36.685881,113.837073,4488,Hebei,China,5.248
Chengde Jianlong SPECIAL Steel Co Ltd,4400,1,277866579.7444777,19.443,1,['China'],40.515035,117.596071,4400,Hebei,China,5.058
Evraz NTMK JSC,4400,1,53608.378286734944,10.889,1,['Russia'],57.922851,60.033543,4400,Sverdlovsk,Russia,3224.528
Gerdau Acominas SA,4360,1,64633.832128563045,11.077,1,['Brazil'],-20.543507,-43.75295,4360,Minas Gerais,Brazil,13445.94
Ternium México SA de CV,4330,3,58108.42186958028,10.967,1,['Mexico'],25.720327,-100.301175,2400,Nuevo León,Mexico,18759.758
Acciaieria Arvedi SpA,4300,1,603655.6002061085,13.311,1,['Italy'],45.145949,9.950821,4300,Province of Cremona,Italy,7090.989
Baowu Group Echeng Iron & Steel Co Ltd,4276,1,14250230836.869875,23.38,1,['China'],30.39574,114.861313,4276,Hubei,China,3.08
Tangshan Heavy Plate Co Ltd,4200,1,658638310.9064554,20.306,1,['China'],39.268452,119.024819,4200,Hebei,China,3.829
Jianlong Xilin Iron and Steel Co Ltd,4200,1,10642384.938641924,16.18,1,['China'],47.495036,129.287919,4200,Heilongjiang,China,6.059
Chengyu Vanadium & Titanium Technology Co Ltd,4050,1,69319122.10205877,18.054,1,['China'],29.732143,104.504339,4050,Sichuan,China,5.156
PT Krakatau Steel (Persero) Tbk,4000,1,33214.740917487085,10.411,1,['Indonesia'],-6.007021,106.001766,4000,Banten,Indonesia,1971.696
Voestalpine Stahl GmbH,4000,1,293.8831668379416,5.687,1,['Austria'],48.274023,14.33434,4000,Upper Austria,Austria,6744.784
Jiugang Group Yuzhong Iron & Steel Co Ltd,4000,1,167993672.70306432,18.939,1,['China'],36.033646,104.035535,4000,Gansu,China,1.298
Ningbo Iron & Steel Co Ltd,3999,1,7787131930.195617,22.776,1,['China'],29.918776,121.876423,3999,Zhejiang,China,5.623
Hebei Taihang Iron and Steel Group Co Ltd,3950,1,383769388.9911753,19.766,1,['China'],36.613716,114.082349,3950,Hebei,China,4.792
Pangang Group Xichang Steel and Vanadium Co Ltd,3900,1,146825967.31663737,18.805,1,['China'],27.74799,102.20517,3900,Sichuan,China,5.0
Al Ezz Flat Steel Company SAE,3900,1,54845.716740088894,10.912,1,['Egypt'],29.692045,32.322117,3900,Suez,Egypt,4060.241
Shandong Iron and Steel Co Ltd,3850,1,1723461254.4344203,21.268,1,['China'],36.087717,117.827927,3850,Shandong,China,6.533
Eregli Demir ve Celik Fabrikalari AŞ,3801,1,603655.6002061085,13.311,1,['Türkiye'],41.261469,31.420106,3801,Zonguldak,Türkiye,4654.468
Anhui Changjiang Steel Co Ltd,3800,1,2369022303.7466125,21.586,1,['China'],31.502272,118.465162,3800,Anhui,China,5.2
Shaanxi LONG MEN IRON&STEEL Co Ltd,3800,1,1050556946.8883605,20.773,1,['China'],35.618466,110.575788,3800,Shaanxi,China,3.902
Zenith Steel Group Co Ltd,3700,1,18149919723.49238,23.622,1,['China'],31.707656,120.079591,3700,Jiangsu,China,4.223
Algoma Steel Group Inc,3700,1,54845.716740088894,10.912,1,['Canada'],46.518984,-84.374068,3700,Ontario,Canada,17270.606
Fujian Great Dong Hai Industrial Group Co Ltd,3695,1,548350467.9412751,20.122,1,['China'],25.737777,119.592239,3695,Fujian,China,6.703
Shanxi Zhongyang Iron & Steel Co Ltd,3600,1,320338051.3482251,19.585,1,['China'],37.370796,111.161118,3600,Shanxi,China,4.064
Dongkuk Steel Mill Co Ltd,3600,2,141550687.07690954,17.294,1,['South Korea'],37.486465,126.638607,2200,Seoul National Capital Area,South Korea,438.97
Emsteel Building Materials PJSC,3600,1,54845.716740088894,10.912,1,['United Arab Emirates'],24.322033,54.467987,3600,Abu Dhabi,United Arab Emirates,1530.54
Xinji AOSEN Steel Group Co Ltd,3600,1,215529762.4241828,19.189,1,['China'],37.752351,115.184798,3600,Hebei,China,6.125
Esfahan Steel Co,3600,1,603655.6002061085,13.311,1,['Iran'],32.418304,51.331314,3600,Isfahan,Iran,2137.939
"Xinyang Iron & Steel Co.,ltd of Angang Group",3600,1,382250327.83036226,19.762,1,['China'],32.488704,114.038243,3600,Henan,China,4.026
Shougang Changzhi IRON& Steel Co Ltd,3600,1,2449438562.2978115,21.619,1,['China'],36.356404,113.060809,3600,Shanxi,China,3.339
Shougang Shuicheng Iron & Steel (Group) Co Ltd,3501,1,2917021785.146939,21.794,1,['China'],26.595229,104.877413,3501,Guizhou,China,3.716
Ternium Argentina SA,3501,1,64633.832128563045,11.077,1,['Argentina'],-33.37365,-60.138697,3501,Buenos Aires,Argentina,15760.487
Kamet-Steel PrJSC,3500,1,293.8831668379416,5.687,1,['Ukraine'],48.528019,34.640915,3500,Dnipropetrovsk,Ukraine,4569.729
Ningxia Jianlong Special Steel Co Ltd,3500,1,698923464.9402945,20.365,1,['China'],39.215452,106.688294,3500,Ningxia,China,2.454
Alliance Steel (M) Sdn Bhd,3500,1,33214.740917487085,10.411,1,['Malaysia'],4.007595,103.344458,3500,Pahang,Malaysia,1101.832
Oskol'skiy Elektrometallurgicheskiy Kombinat Imeni Alekseya Alekseyevicha Ugarova JSC,3500,1,69838.97000546272,11.154,1,['Russia'],51.142738,37.940532,3500,Belgorod,Russia,4389.559
Qinhuangdao Hongxing Iron & Steel Co Ltd,3450,1,853581286.6142415,20.565,1,['China'],39.700721,118.871477,3450,Hebei,China,1.169
Osaka Steel Co Ltd,3450,1,254812052510.10464,26.264,1,['Japan'],34.59822,135.45439,3450,Osaka,Japan,3.649
Henan Jiyuan Iron & Steel (Group) Co Ltd,3428,1,3421395276.0751696,21.953,1,['China'],35.086396,112.553774,3428,Henan,China,5.423
Daye SPECIAL Steel Co Ltd,3420,1,5065987125.999837,22.346,1,['China'],30.204603,115.125838,3420,Hubei,China,0.489
Tangshan Donghua Iron & Steel Enterprise Group Co Ltd,3400,1,438464931.03294915,19.899,1,['China'],39.468366,118.256774,3400,Hebei,China,4.145
Guangxi BG New Materials Co Ltd,3400,1,490660026.3866026,20.011,1,['China'],21.519924,109.506427,3400,Guangxi,China,4.707
Linyi Iron and Steel Investment Group Co Ltd,3400,1,212520272.51501238,19.175,1,['China'],35.15735,119.133999,3400,Shandong,China,4.516
ArcelorMittal South Africa Ltd,3360,1,1847515865.9183831,21.337,1,['South Africa'],-26.657367,27.82231,3360,Gauteng,South Africa,6789.662
Yangzhou Hengrun Ocean Heavy Industry Co Ltd,3300,1,1835372768.9161925,21.331,1,['China'],32.249602,119.620438,3300,Jiangsu,China,5.454
JSW Vijayanagar Metallics Ltd,3300,1,334841572.46645224,19.629,1,['India'],15.203176,76.659122,3300,Karnataka,India,3.845
Rockcheck Steel Group Co Ltd,3250,1,8170303829.634859,22.824,1,['China'],38.970638,117.495794,3250,Tianjin,China,4.527
Hubei Jinshenglan Metallurgical Technology Co Ltd,3250,1,96700424.06712171,18.387,1,['China'],29.916729,113.822921,3250,Hubei,China,6.377
Baosteel Desheng Stainless Steel Co Ltd,3220,1,53661889.35483706,17.798,1,['China'],26.48747,119.654461,3220,Fujian,China,7.007
Al Ezz Dekheila Steel Company Alexandria SAE,3200,1,54845.716740088894,10.912,1,['Egypt'],31.123467,29.80987,3200,Alexandria,Egypt,4370.416
BlueScope Steel Ltd,3200,1,1853170.5258897757,14.432,1,['Australia'],-34.463834,150.886191,3200,New South Wales,Australia,7244.285
Nucor Yamato Steel Co,3174,1,54845.716740088894,10.912,1,['United States'],35.941421,-89.713819,3174,Arkansas,United States,17648.398
Nghi Son VAS Group JSC,3150,1,616052.5720105489,13.331,1,['Vietnam'],19.326924,105.777449,3150,Thanh Hoa,Vietnam,324.816
Nucor Steel Decatur LLC,3100,1,54845.716740088894,10.912,1,['United States'],34.63963,-87.085738,3100,Alabama,United States,17341.999
Izmir Demir Celik Sanayi AŞ,3100,1,603655.6002061085,13.311,1,['Türkiye'],38.739596,26.929091,3100,İzmir,Türkiye,4988.98
