Owner,total_capacity,plant_count,avg_environment,avg_environment_log,country_count,country_names,Latitude_plant,Longitude_plant,Nominal crude steel capacity (ttpa),Subnational unit (province/state),Country/Area,distance_km
Guangxi Longzhou Zhongheng Wanhua Industrial Co Ltd,3075,2,14775761.727532735,16.4935,1,['China'],23.987136,111.914197,1725,Guangxi,China,5.599
Zhuhai Yueyufeng IRON&STEEL Co Ltd,3051,1,2524762539.6796427,21.649,1,['China'],21.96092,113.198718,3051,Guangdong,China,19.735
Jiangsu Xusteel Group Co Ltd,3050,1,536146471.99254227,20.1,1,['China'],34.577016,117.339638,3050,Jiangsu,China,6.191
North Star BlueScope Steel Ltd,3034,1,54845.716740088894,10.912,1,['United States'],41.568783,-84.048129,3034,Ohio,United States,17112.409
Hebei Tianzhu Iron and Steel Group Special Steel Co Ltd,3034,1,658638310.9064554,20.306,1,['China'],39.270032,119.01376,3034,Hebei,China,4.397
Jinding Heavy Industries Co Ltd,3000,1,2791499561.2492723,21.75,1,['China'],36.718952,114.111677,3000,Hebei,China,2.091
Fujian Tsingtuo Nickel Industry Co Ltd,3000,1,11794218.386546498,16.283,1,['China'],26.768925,119.765203,3000,Fujian,China,9.855
PT Krakatau Posco,3000,1,33214.740917487085,10.411,1,['Indonesia'],-5.998661,105.99866,3000,Banten,Indonesia,1970.777
DELONG Steel Ltd,3000,1,676290293.567939,20.332,1,['China'],37.086116,114.384832,3000,Hebei,China,5.537
Tianjin Pipe Corp,3000,1,7120436820.791538,22.686,1,['China'],39.034002,117.486798,3000,Tianjin,China,3.354
Shanxi Xintai Iron & Steel Co Ltd,3000,1,4334687658.950084,22.19,1,['China'],37.075017,111.985148,3000,Shanxi,China,5.527
Weifang SPECIAL Steel Group Co Ltd,3000,1,3368126297.6347632,21.938,1,['China'],36.644469,119.238427,3000,Shandong,China,4.303
Jindal Stainless Ltd,3000,2,659468987.0023955,20.256,1,['India'],20.954939,86.051986,2200,Odisha,India,1.218
KISCO Corp,3000,1,3761696.9209812265,15.14,1,['South Korea'],35.216552,128.640158,3000,South Gyeongsang,South Korea,114.637
Anhui Shoukuang Dachang Metal Material Co Ltd,3000,1,26192474.427464876,17.081,1,['China'],32.329171,115.954963,3000,Anhui,China,4.954
Shangang Group Hanzhong Iron & Steel Co Ltd,3000,1,686629951.6960833,20.347,1,['China'],33.133192,106.671859,3000,Shaanxi,China,4.204
BMZ-Upravlyayushchaya Kompaniya Kholdinga BMK JSC,3000,1,69838.97000546272,11.154,1,['Belarus'],52.849321,29.988985,3000,Gomel Region,Belarus,5324.263
"Sichuan De Sheng Group, Vanadium and Titanium Co Ltd",3000,1,181895609.9521647,19.019,1,['China'],29.39798,103.542532,3000,Chongqing,China,2.937
Egyptian Sponge Iron & Steel Company SAE,3000,1,54845.716740088894,10.912,1,['Egypt'],30.393079,30.58773,3000,Menofia,Egypt,4266.662
Lianyungang Yaxin Iron and Steel Co Ltd,3000,1,890142435.6329616,20.607,1,['China'],34.423786,119.778311,3000,Jiangsu,China,4.894
Lianyungang Xingxin Iron and Steel Co Ltd,3000,1,1557019273.7154286,21.166,1,['China'],34.38381,119.786878,3000,Jiangsu,China,1.302
Lengshuijiang Iron and Steel Co Ltd,3000,1,982323572.5654914,20.705,1,['China'],27.690401,111.437288,3000,Hunan,China,3.251
Tangshan Guotang Steel Co Ltd,3000,1,658638310.9064554,20.306,1,['China'],39.293147,119.046972,3000,Hebei,China,0.628
NMDC Steel Ltd,3000,1,67937733.07878391,18.034,1,['India'],19.0931901,82.17,3000,Chhattisgarh,India,5.679
Nanyang Hanye SPECIAL STREET Co Ltd,3000,1,313551485.3556643,19.563,1,['China'],33.269324,111.534635,3000,Henan,China,3.076
Yunnan Yuxi Xianfu Iron and Steel (Group) Co Ltd,2980,1,20949106.01836089,16.858,1,['China'],24.012309,102.186364,2980,Yunnan,China,4.334
Qingdao Special Iron and Steel Co Ltd,2950,1,431849713.01466113,19.884,1,['China'],35.6296,119.722335,2950,Shandong,China,1.681
Zaporiz'kyi Metalurhiinyi Kombinat Zaporizhstal' PJSC,2930,1,293.8831668379416,5.687,1,['Ukraine'],47.86838,35.161773,2930,Zaporizhzhia,Ukraine,4480.987
Tung Ho Steel Enterprise Corp,2900,3,2731457478.764176,20.858666666666664,1,['Taiwan'],24.568401,120.74062,1200,Miaoli,Taiwan,154.856
Shyam Metalics and Energy Ltd,2859,2,508460503.06881213,19.9145,1,['India'],21.680344,84.04179,1715,Odisha,India,3.353
Shandong Shouguang Juneng SPECIAL Steel Co Ltd,2850,1,1440684200.7685635,21.088,1,['China'],36.939125,118.785598,2850,Shandong,China,2.76
Fangda Special Steel Technology Co Ltd,2800,1,30850521591.191532,24.152,1,['China'],28.645441,115.99204,2800,Jiangxi,China,4.561
PT Gunung Raja Paksi Tbk,2800,1,33214.740917487085,10.411,1,['Indonesia'],-6.282658,107.117683,2800,West Java,Indonesia,2080.399
ShanXi TongCai Industry and Trade Co Ltd,2780,1,747390169.8949468,20.432,1,['China'],35.694321,111.429381,2780,Shanxi,China,3.752
Liyang Baorun Steel Co Ltd,2760,1,5294448729.56292,22.39,1,['China'],31.471123,119.485941,2760,Jiangsu,China,3.497
Rungta Mines Ltd,2725,5,307628533.1210734,19.309,1,['India'],22.13237,85.417031,1350,Odisha,India,4.682
Jiangsu Shagang Group Huaigang SPECIAL Steel Co Ltd,2714,1,4165354036.0691886,22.15,1,['China'],33.566039,118.988442,2714,Jiangsu,China,4.673
Shanxi Gaoyi Steel Co Ltd,2700,1,2190467911.060826,21.507,1,['China'],35.586841,111.258436,2700,Shanxi,China,6.402
Tongling City Xuanli Special Steel Co Ltd,2700,1,322755495.5135918,19.592,1,['China'],31.062807,117.956015,2700,Anhui,China,2.759
Jinan Iron & Steel Group Co Ltd,2700,1,2791499561.2492723,21.75,1,['China'],36.718952,114.111677,2700,Hebei,China,2.091
Arvand Jahanara Steel Co,2700,1,54845.716740088894,10.912,1,['Iran'],30.510886,48.241356,2700,Khouzestan,Iran,2373.049
Chifeng Zhongtang Special Steel Co Ltd,2700,1,14520160.651008502,16.491,1,['China'],41.834064,119.281883,2700,Inner Mongolia,China,6.214
Eastern Steel Sdn Bhd,2700,1,33214.740917487085,10.411,1,['Malaysia'],4.285062,103.432551,2700,Terengganu,Malaysia,1102.68
Anhui Guihang Special Steel Co Ltd,2700,1,189683194.67400867,19.061,1,['China'],30.531068,117.251147,2700,Anhui,China,4.714
Lloyds Metals and Energy Ltd,2700,2,124927907.9499686,16.6645,1,['India'],19.929837,79.119344,1350,Maharashtra,India,3.433
Hebei Xinjin Iron and Steel Co Ltd,2700,1,6917400988.421546,22.657,1,['China'],36.715632,114.208992,2700,Hebei,China,1.016
Fushun New Steel Corp Ltd,2700,1,8540543698.927486,22.868,1,['China'],41.841223,123.753895,2700,Liaoning,China,6.57
Fulun Iron & Steel Co Ltd,2700,1,792299266.5563575,20.49,1,['China'],36.308447,117.540425,2700,Shandong,China,2.322
Jilin Jianlong Steel Co Ltd,2700,1,133726064.71790448,18.711,1,['China'],44.011951,126.537086,2700,Jilin,China,4.629
Dongbei Special Steel Group Dalian Special Steel Co Ltd,2695,1,278283618.2820494,19.444,1,['China'],39.193697,122.057788,2695,Liaoning,China,2.764
Fujian Luoyuan Minguang Iron & Steel Co Ltd,2650,1,53661889.35483706,17.798,1,['China'],26.483815,119.67105,2650,Fujian,China,5.222
Anyuan Iron & Steel Co Ltd,2650,1,7940031421.185044,22.795,1,['China'],27.64555,113.902126,2650,Jiangxi,China,3.973
Kyoei Steel Ltd,2645,3,33170209963.181366,23.445000000000004,1,['Japan'],35.065055,136.815384,1265,Aichi,Japan,4.134
Arab Steel Co,2600,1,54845.716740088894,10.912,1,['Saudi Arabia'],26.277917,49.949177,2600,Eastern Province,Saudi Arabia,2053.947
Benxi Beiying Iron & Steel (GROUP) Co Ltd,2600,1,423489077.5911907,19.864,1,['China'],41.224814,123.608374,2600,Liaoning,China,3.062
Shagang Group Anyang Yongxing Iron & Steel Co Ltd,2600,1,3691623504.775808,22.029,1,['China'],36.143573,114.149964,2600,Henan,China,3.778
Yunnan Qujing Iron and Steel Group Chenggang Iron and Steel Co Ltd,2600,1,240153183.6302977,19.297,1,['China'],25.45543,103.547242,2600,Yunnan,China,0.716
Qatar Steel Company QPSC,2574,1,54845.716740088894,10.912,1,['Qatar'],24.952688,51.584777,2574,Mesaieed,Qatar,1855.21
Jianlong Beiman SPECIAL Steel Co Ltd,2570,1,3437488269.916678,21.958,1,['China'],47.191285,123.616512,2570,Heilongjiang,China,2.949
ArcelorMittal Méditerranée SAS,2550,1,54845.716740088894,10.912,1,['France'],43.43283,4.887166,2550,Provence-Alpes-Côte d'Azur,France,7527.005
Hoa Phat Hai Duong Steel JSC,2525,1,616052.5720105489,13.331,1,['Vietnam'],21.01536,106.536023,2525,Hai Duong,Vietnam,111.635
Shanxi Tongde Xinghua Special Steel Co Ltd,2500,1,353310074.948443,19.683,1,['China'],40.183517,113.305462,2500,Shanxi,China,3.929
Badische Stahlwerke GmbH,2500,1,293.8831668379416,5.687,1,['Germany'],48.595058,7.821633,2500,Baden-Württemberg,Germany,7465.953
Hebei Xinxing Ductile Iron Pipes Co Ltd,2500,1,1570133414.6514165,21.174,1,['China'],36.621504,114.128189,2500,Hebei,China,0.601
Compania Espanola de Laminacion SL,2500,1,54845.716740088894,10.912,1,['Spain'],41.454855,1.980107,2500,Barcelona,Spain,7735.385
MMK Metalurji Sanayi Ticaret ve Liman Isletmeciligi AŞ,2500,1,603655.6002061085,13.311,1,['Türkiye'],36.768975,36.213842,2500,Hatay,Türkiye,3920.692
Gerdau Acos Longos SA,2486,3,64633.832128563045,11.077,1,['Brazil'],-23.43864,-47.08825,950,São Paulo,Brazil,13921.734
SSAB Americas Holding AB,2450,2,54845.716740088894,10.912,1,['United States'],30.941783,-88.012437,1250,Alabama,United States,17413.023
Chifeng Yuanlian Steel Co Ltd,2450,1,1995635766.3421109,21.414,1,['China'],42.278115,119.015289,2450,Inner Mongolia,China,3.575
Tangshan Zhengfeng Steel Co Ltd,2439,1,2256673828.2882605,21.537,1,['China'],39.85271,118.181279,2439,Hebei,China,4.418
Evonith Metallics Ltd,2430,2,428413959.05805874,19.876,1,['India'],20.704605,78.620293,1350,Maharashtra,India,0.687
Yancheng Lianxin Steel Co Ltd,2410,1,47191425.791021824,17.67,1,['China'],33.211332,120.774892,2410,Jiangsu,China,7.42
Guangdong Nanfang Donghai Iron and Steel Co Ltd,2400,1,194781090.93254027,19.087,1,['China'],22.907614,112.224952,2400,Guangdong,China,4.354
Guangdong Jinshenglan Metallurgical Technology Co Ltd,2400,1,288572450.6037076,19.48,1,['China'],22.888729,112.263081,2400,Guangdong,China,3.589
Jindal Shadeed Iron & Steel LLC,2400,1,54845.716740088894,10.912,1,['Oman'],24.502551,56.600739,2400,Al Batinah North,Oman,1294.419
Yangzhou Qinyou Special Metal Materials Co Ltd,2400,1,361408387.5824465,19.706,1,['China'],32.838703,119.425236,2400,Jiangsu,China,6.059
Yangchun New Iron & Steel Co Ltd,2400,1,126961940.125218,18.659,1,['China'],22.084904,111.642187,2400,Guangdong,China,5.184
ArcelorMittal Long Products Canada GP,2400,1,54845.716740088894,10.912,1,['Canada'],45.835148,-73.254957,2400,Quebec,Canada,16033.794
Kish South Kaveh Steel Co,2400,1,54845.716740088894,10.912,1,['Iran'],27.169696,56.095207,2400,Hormuzgan,Iran,1408.369
Hebei Tangyin IRON&STEEL Co Ltd,2300,1,146526011.7107865,18.803,1,['China'],39.160401,118.429806,2300,Hebei,China,5.992
Hebei Rongxin Iron & Steel Co Ltd,2300,1,796505445.106471,20.496,1,['China'],39.880661,118.558755,2300,Hebei,China,2.072
Shanxi HONGDA Iron and Steel Group Co Ltd,2300,1,250634379.58227268,19.34,1,['China'],35.701895,110.786826,2300,Shanxi,China,1.034
Evraz North America PLC,2300,2,54845.716740088894,10.912,2,"['Canada', 'United States']",50.51499,-104.630589,1200,Saskatchewan,Canada,19611.571
Liaoyang United Steel Co Ltd,2300,1,1281795295.850902,20.972,1,['China'],41.19138,122.877311,2300,Liaoning,China,2.521
Qinhuangdao Baigong Steel Co Ltd,2260,1,1644959560.7920702,21.221,1,['China'],39.748773,118.819472,2260,Hebei,China,6.621
Jiangsu Province Binxin Steel Group Co Ltd,2250,1,3627723888.232499,22.012,1,['China'],35.09556,119.279989,2250,Jiangsu,China,4.212
JFE Bars & Shapes Corp,2220,3,10166868071.82332,23.004,1,['Japan'],34.784113,134.658493,900,Hyogo,Japan,3.866
Changshu Longteng Special Steel Co Ltd,2213,1,9736930825.62187,22.999,1,['China'],31.723833,120.835685,2213,Jiangsu,China,4.824
BMM Ispat Ltd,2208,1,326466748.184155,19.604,1,['India'],15.16972,76.37971,2208,Karnataka,India,4.485
Algerian Qatari Steel,2200,1,54845.716740088894,10.912,1,['Algeria'],36.753961,6.24442,2200,Jijel,Algeria,7096.292
Ferriere Nord SpA,2200,1,293.8831668379416,5.687,1,['Italy'],46.232199,13.079104,2200,Province of Udine,Italy,6821.869
Xiangfen County XinJinShan Special Steel Co Ltd,2200,1,517374334.2584018,20.064,1,['China'],35.934831,111.49707,2200,Shanxi,China,5.389
Yenakiieve Metallurgical Plant Branch PJSC,2200,1,293.8831668379416,5.687,1,['Ukraine'],48.220502,38.228626,2200,Donetsk,Ukraine,4175.001
Aperam Stainless Belgium NV,2200,2,293.8831668379416,5.687,1,['Belgium'],50.933973,5.511494,1200,Limburg,Belgium,7803.86
HBIS Group Serbia Iron & Steel Beograd doo,2199,1,293.8831668379416,5.687,1,['Serbia'],44.606332,20.970066,2199,Podunavlje,Serbia,5915.352
Groupe Industriel Sider SpA,2150,1,54845.716740088894,10.912,1,['Algeria'],36.795924,7.707633,2150,Annaba,Algeria,6939.473
SeAH Besteel Holdings Corp,2101,1,3761696.9209812265,15.14,1,['South Korea'],35.968596,126.609524,2101,North Jeolla,South Korea,358.272
Suez Steel Company SAE,2100,1,54845.716740088894,10.912,1,['Egypt'],29.923176,32.466587,2100,Suez,Egypt,4049.845
Liberty Steel Group,2060,2,293.8831668379416,5.687,2,"['Poland', 'United Kingdom']",53.450712,-1.323025,1220,England,United Kingdom,8655.266
Guangdong Yuebei United Steel Co Ltd,2055,1,114780320.39245096,18.559,1,['China'],24.262452,113.728198,2055,Guangdong,China,4.197
Uralskaya Stal JSC,2050,1,39476.332703073494,10.583,1,['Russia'],51.214781,58.353913,2050,Orenburg,Russia,2498.891
Heilongjiang Jianlong Iron and Steel Co Ltd,2001,1,125175844.19061546,18.645,1,['China'],46.602297,131.071877,2001,Heilongjiang,China,4.985
Alfa Acciai SpA,2000,1,603655.6002061085,13.311,1,['Italy'],45.508698,10.248464,2000,Province of Brescia,Italy,7080.589
Wuhan Shunle Stainless Steel Co Ltd,2000,1,11843724400.76606,23.195,1,['China'],30.394434,114.257701,2000,Hubei,China,4.537
Jiangsu Changqiang Iron & Steel Co Ltd,2000,1,5149260849.902505,22.362,1,['China'],31.952064,120.189749,2000,Jiangsu,China,2.226
Houying Group Haicheng Iron and Steel Co Ltd,2000,1,563518410.1278985,20.15,1,['China'],40.981855,122.948643,2000,Liaoning,China,3.632
Arcelormittal Sestao SL,2000,1,54845.716740088894,10.912,1,['Spain'],43.313144,-2.998964,2000,Vizcaya,Spain,8349.022
Tangshan Fengnan District Jing'an Iron and Steel Co Ltd,2000,1,1597397963.2435653,21.192,1,['China'],39.600956,118.358726,2000,Hebei,China,3.918
Hubei Shunle Iron and Steel Co Ltd,2000,1,96700424.06712171,18.387,1,['China'],29.925026,113.826118,2000,Hubei,China,5.746
Fuzhou Wuhang Steel Products Co Ltd,2000,1,6512786661.363352,22.597,1,['China'],25.995101,119.495725,2000,Fujian,China,6.169
Fujian Wuhang Stainless Steel Products Co Ltd,2000,1,6512786661.363352,22.597,1,['China'],25.95923,119.452018,2000,Fujian,China,0.712
Inner Mongolia Yaxinlongshun Special Steel Co Ltd,2000,1,2337622.9703656165,14.665,1,['China'],40.689778,110.214707,2000,Inner Mongolia,China,2.815
Wuhai Baogang Wanteng Iron and Steel Co Ltd,2000,1,111523145.34028804,18.53,1,['China'],39.855971,106.886647,2000,Inner Mongolia,China,3.049
Amsteel Mills Sdn Bhd,2000,2,33214.740917487085,10.411,1,['Malaysia'],2.806998,101.601053,1250,Selangor,Malaysia,972.797
Hubei Lijin Steel Group Co Ltd,2000,1,728653447.9992169,20.407,1,['China'],32.127263,112.715688,2000,Hubei,China,0.871
Wuhu Fuxin Iron & Steel Co Ltd,2000,1,203072621.1319695,19.129,1,['China'],31.194505,118.067833,2000,Anhui,China,3.424
Acindar Industria Argentina de Aceros SA,2000,1,64633.832128563045,11.077,1,['Argentina'],-33.249936,-60.300415,2000,Santa Fe,Argentina,15769.866
Guangdong Guangqing METAL Technology Co Ltd,2000,1,546325381.749661,20.119,1,['China'],21.697069,111.848841,2000,Guangdong,China,9.11
Wuhu Xinxing Ductile Iron Pipes Co Ltd,2000,1,1042494789.8844099,20.765,1,['China'],31.229893,118.150867,2000,Anhui,China,4.021
ArcelorMittal Bremen GmbH,2000,1,293.8831668379416,5.687,1,['Germany'],53.133305,8.688193,2000,Bremen,Germany,7569.069
Tangshan Wenfeng Special Steel Co Ltd,2000,1,146526011.7107865,18.803,1,['China'],39.146541,118.432261,2000,Hebei,China,4.24
Luzhou Xinyang Vanadium Titanium Steel Co Ltd,2000,1,20271489.796361625,16.825,1,['China'],28.851779,105.70509,2000,Sichuan,China,2.974
Xinxing Ductile Iron Pipes Xinjiang Co Ltd,2000,1,31013010.919899933,17.25,1,['China'],42.333321,86.302481,2000,Xinjiang,China,6.385
Guangdong Jingye Iron and Steel Co Ltd,2000,1,7797595936.055308,22.777,1,['China'],23.454666,116.498483,2000,Guangdong,China,4.492
Shijiazhuang Iron and Steel Co Ltd,2000,1,1532287958.3060682,21.15,1,['China'],38.075008,114.033043,2000,Hebei,China,4.811
BERIS Jiangsu Heavy Industry Co Ltd,2000,1,178113102.28059617,18.998,1,['China'],32.104319,119.792126,2000,Jiangsu,China,2.719
Guizhou United Steel (Group) Co Ltd,1990,1,288427354.33009654,19.48,1,['China'],27.591691,106.814024,1990,Guizhou,China,4.869
Sev.en Global Investments AS,1970,2,35066.42658615033,8.4205,2,"['Norway', 'United Kingdom']",51.479757,-3.137056,1200,Wales,United Kingdom,8763.244
Aceros Especiales Simec Tlaxcala SA de CV,1956,2,64633.832128563045,11.077,1,['Mexico'],19.395628,-98.088777,1140,Tlaxcala,Mexico,18519.029
Pavgord doo,1940,1,603655.6002061085,13.311,1,['Bosnia and Herzegovina'],44.224446,17.899815,1940,Zenica-Doboj,Bosnia and Herzegovina,6214.746
Angang Lianzhong Stainless Steel Corp,1900,1,23605391215.706425,23.885,1,['China'],23.126822,113.505817,1900,Guangdong,China,3.997
Lucheng Xingbao Iron & Steel Co Ltd,1900,1,2719454994.077153,21.724,1,['China'],36.332449,113.15509,1900,Shanxi,China,6.554
Yunnan Yuxi Iron and Steel Group Yukun Iron and Steel Co Ltd,1893,1,932314590.9645125,20.653,1,['China'],24.465884,102.543682,1893,Yunnan,China,0.95
Hebei Huaxi Special Steel Co Ltd,1824,1,658638310.9064554,20.306,1,['China'],39.260784,119.005925,1824,Hebei,China,5.963
G Steel PCL,1800,1,107232.4190322772,11.583,1,['Thailand'],12.793786,101.244592,1800,Rayong,Thailand,913.929
Anshan Baode Iron & Steel Co Ltd,1800,1,4381066890.384275,22.201,1,['China'],41.173613,122.945501,1800,Liaoning,China,5.331
BES Brandenburger Elektrostahlwerke GmbH,1800,1,293.8831668379416,5.687,1,['Germany'],52.402617,12.496135,1800,Brandenburg,Germany,7124.372
Ningxia Iron and Steel (Group) Co Ltd,1800,1,21396075.606333133,16.879,1,['China'],37.503054,105.078348,1800,Ningxia,China,6.786
Hbzx HIGH Tech Co Ltd,1800,1,11073664760.627905,23.128,1,['China'],40.607977,115.067516,1800,Hebei,China,3.81
Henan Angang Zhoukou Iron and Steel Co Ltd,1750,1,1216482444.7504897,20.919,1,['China'],33.364534,115.099661,1750,Henan,China,3.147
Acciaierie Venete SpA,1740,3,603655.6002061085,13.311,1,['Italy'],46.049182,11.440394,600,Province of Trentino-Alto Adige,Italy,6989.307
Fujian Dingsheng Steel Co Ltd,1726,1,65973740.548705816,18.005,1,['China'],27.224477,120.328828,1726,Fujian,China,4.604
Siderca SAIC,1720,1,64633.832128563045,11.077,1,['Argentina'],-34.152554,-58.977388,1720,Buenos Aires,Argentina,15688.028
Feng Hsin Steel Co Ltd,1701,1,143851074.280014,18.784,1,['Taiwan'],24.31287,120.712774,1701,Taichung,Taiwan,170.43
Licheng Taihang Iron & Steel Co Ltd,1700,1,231213739.23506635,19.259,1,['China'],36.472303,113.344155,1700,Shanxi,China,3.941
CMC Poland SP zoo,1700,1,293.8831668379416,5.687,1,['Poland'],50.487463,19.456759,1700,Silesia,Poland,6283.713
Shanxi Meijin Iron and Steel Co Ltd,1700,1,1679834580.032344,21.242,1,['China'],37.571354,112.229791,1700,Shanxi,China,4.805
Godo Steel Ltd,1700,3,176002564914.40576,25.239666666666665,1,['Japan'],35.697541,139.964104,700,Chiba,Japan,1.613
Outokumpu Stainless AB,1700,2,54657.651354268106,10.868500000000001,2,"['Finland', 'Sweden']",65.767115,24.176472,1200,Lapland,Finland,7431.733
Heyuan Derun Steel Co Ltd,1650,1,17999992.50243982,16.706,1,['China'],23.39775,114.898646,1650,Guangdong,China,3.813
Talleres y Aceros SA de CV,1650,1,64633.832128563045,11.077,1,['Mexico'],18.869272,-97.047263,1650,Veracruz,Mexico,18404.943
Jai Balaji Industries Ltd,1645,2,675745315.8269312,20.331,1,['India'],23.487439,87.369494,1350,West Bengal,India,3.585
Bangladesh Steel Re-Rolling Mills Ltd,1625,1,56441177.06437761,17.849,1,['Bangladesh'],22.870631,91.545862,1625,Chattogram,Bangladesh,20.682
Libyan Iron and Steel Co,1614,1,54845.716740088894,10.912,1,['Libya'],32.335185,15.215053,1614,Misrata,Libya,5995.297
West Alborz Steel Co,1600,1,603655.6002061085,13.311,1,['Iran'],36.119574,49.306253,1600,Zanjan,Iran,2542.016
Jianglong Acheng Iron & Steel Co Ltd,1600,1,3851213851.5239058,22.072,1,['China'],45.562002,126.968128,1600,Heilongjiang,China,3.412
North American Stainless Inc,1600,1,54845.716740088894,10.912,1,['United States'],38.725418,-85.076015,1600,Kentucky,United States,17173.942
Sanyo Special Steel Co Ltd,1596,1,12333371034.581137,23.236,1,['Japan'],34.788074,134.672046,1596,Hyogo,Japan,4.069
Jiangsu HONGTAI Metals Ware Co Ltd,1576,1,3200493895.461697,21.887,1,['China'],32.138393,119.554693,1576,Jiangsu,China,2.281
Orissa Metaliks Pvt Ltd,1558,3,2205613025.7592883,21.30633333333333,1,['India'],22.378355,87.281773,900,West Bengal,India,1.173
Abinski Elektrometallurgicheski Zavod LLC,1550,1,293.8831668379416,5.687,1,['Russia'],44.881938,38.12751,1550,Krasnodar,Russia,4039.736
Infrabuild Australia Pty Ltd,1530,2,1853170.5258897757,14.432,1,['Australia'],-37.831379,144.788169,780,Victoria,Australia,7648.459
JSW Steel USA Ohio Inc,1500,1,54845.716740088894,10.912,1,['United States'],40.314891,-80.605553,1500,Ohio,United States,16707.879
TRINECKÉ ZELEZÁRNY AS,1500,1,293.8831668379416,5.687,1,['Czech Republic'],49.689053,18.654557,1500,Moravia-Silesia,Czech Republic,6332.413
G J Steel PCL,1500,1,107232.4190322772,11.583,1,['Thailand'],13.054668,101.078842,1500,Chonburi,Thailand,894.73
Danyang Longjiang Steel Co Ltd,1500,1,5805245295.940704,22.482,1,['China'],32.027791,119.57706,1500,Jiangsu,China,4.341
Zhongpu (Handan) Iron and Steel Co Ltd,1500,1,296202759.7826058,19.507,1,['China'],36.721376,113.910271,1500,Hebei,China,4.324
PT The Master Steel MFG,1500,1,33214.740917487085,10.411,1,['Indonesia'],-6.18421,106.920067,1500,Jakarta,Indonesia,2057.046
Daido Steel Co Ltd,1500,1,27104407629.54368,24.023,1,['Japan'],35.016404,136.864744,1500,Aichi,Japan,7.973
Jilin Jingang Lron and Steel Co Ltd,1500,1,7056524178.650425,22.677,1,['China'],43.20023,124.335697,1500,Jilin,China,4.547
AM/NS Calvert LLC,1500,1,54845.716740088894,10.912,1,['United States'],31.148446,-87.990521,1500,Alabama,United States,17411.975
ESL Steel Ltd,1500,1,1365011682.389793,21.034,1,['India'],23.632907,86.293671,1500,Jharkhand,India,0.986
Zarand Iranian Steel Co,1500,1,603655.6002061085,13.311,1,['Iran'],30.749633,56.6675096,1500,Kerman,Iran,1505.52
Pasargad Steel Complex Co,1500,1,54845.716740088894,10.912,1,['Iran'],29.191019,52.845405,1500,Fars,Iran,1833.777
Jiangyin Huaxi Steel Co Ltd,1500,1,10086515908.61508,23.034,1,['China'],31.816482,120.424347,1500,Jiangsu,China,4.988
Gerdau Corsa SAPI de CV,1500,2,64633.832128563045,11.077,1,['Mexico'],19.753326,-98.596483,1000,Hidalgo,Mexico,18574.422
SteelAsia Manufacturing Corp,1500,2,67775538.30374488,16.255,1,['Philippines'],10.45078,124.006424,1000,Cebu,Philippines,1619.175
Guangxi Wuzhou Jinhai Stainless Steel Co Ltd,1500,1,607979569.3111423,20.226,1,['China'],23.518229,111.235509,1500,Guangxi,China,4.153
Butia Iranian Steel Co,1500,1,603655.6002061085,13.311,1,['Iran'],30.4912,56.8214,1500,Kerman,Iran,1479.211
Qian'an Zhayi Steel Group Co Ltd,1500,1,722897426.2393645,20.399,1,['China'],40.044026,118.552001,1500,Hebei,China,1.2
Sichuan Shengquan Iron and Steel Group Co Ltd,1500,1,1180067619.3126886,20.889,1,['China'],31.255961,104.190612,1500,Sichuan,China,5.052
