Owner,total_capacity,plant_count,avg_environment,avg_environment_log,country_count,country_names,Latitude_plant,Longitude_plant,Nominal crude steel capacity (ttpa),Subnational unit (province/state),Country/Area,distance_km
Pomina Steel JSC,1500,2,36996681.54220746,17.426,1,['Vietnam'],10.577042,107.040324,1000,Ba Ria Vung Tau,Vietnam,924.556
Aichi Steel Corp,1495,1,110186877555.41345,25.425,1,['Japan'],35.044558,136.900772,1495,Chūbu,Japan,6.42
Acciai Speciali Terni SpA,1450,1,54845.716740088894,10.912,1,['Italy'],42.564752,12.66936,1450,Province of Terni,Italy,6671.813
Arcelormittal Olaberria-Bergara SL,1450,1,54845.716740088894,10.912,1,['Spain'],43.03829,-2.219625,1450,Gipuzkoa,Spain,8253.49
UMK-Stal LLC,1420,2,139191.96749311968,11.844,1,['Russia'],59.593854,60.591196,756,Sverdlovsk,Russia,3419.373
Kroman Celik Sanayii AS,1400,1,603655.6002061085,13.311,1,['Türkiye'],40.801101,29.374115,1400,Kocaeli,Türkiye,4836.719
Lvliang Jianlong Industrial Co Ltd,1400,1,1570081181.240564,21.174,1,['China'],37.47311,112.06093,1400,Shanxi,China,2.982
Guangxi Guigang Iron and Steel Group Co Ltd,1400,1,6503602261.824279,22.596,1,['China'],23.088182,109.634638,1400,Guangxi,China,4.583
ESF Elbe-Stahlwerke Feralpi GmbH,1400,1,293.8831668379416,5.687,1,['Germany'],51.3128,13.280386,1400,Saxony,Germany,6984.687
Yunnan Qujing Iron and Steel Group Co Ltd,1400,1,54580293.24053438,17.815,1,['China'],26.275342,104.168311,1400,Yunnan,China,4.895
Vyksunskiy Metallurgicheskiy Zavod AO,1400,1,69838.97000546272,11.154,1,['Russia'],55.382815,42.188954,1400,Nizhny Novgorod,Russia,4375.639
Hadeed Metal Manufacturing Co,1400,1,54845.716740088894,10.912,1,['Syria'],33.626258,36.574968,1400,Damascus,Syria,3733.534
Lech Stahlwerke GmbH,1400,1,293.8831668379416,5.687,1,['Germany'],48.512051,10.855292,1400,Bavaria,Germany,7132.103
Heping Yueshen Steel Industrial Co Ltd,1400,1,922848789.0805657,20.643,1,['China'],24.49796,114.93888,1400,Guangdong,China,5.309
Khorasan Steel Complex Co,1400,1,974778.8698073986,13.79,1,['Iran'],36.3445,58.67875,1400,Razavi Khorasan,Iran,1700.022
Kaptan Demir Celik Endustrisi Ve Ticaret AŞ,1400,1,603655.6002061085,13.311,1,['Türkiye'],41.015222,27.959978,1400,Tekirdağ,Türkiye,4994.37
Shandong Luli Steel Co Ltd,1400,1,309288577.011094,19.55,1,['China'],36.970875,118.955444,1400,Shandong,China,1.777
Yantai Walsin Stainless Steel Co Ltd,1400,1,18963550948.945488,23.666,1,['China'],37.548627,121.277488,1400,Shandong,China,1.856
Southern Steel Bhd,1400,1,33214.740917487085,10.411,1,['Malaysia'],5.399453,100.382177,1400,Penang,Malaysia,742.976
Abul Khair Steel Ltd,1400,1,14497025.329727666,16.489,1,['Bangladesh'],22.472008,91.734827,1400,Chittagong,Bangladesh,68.831
Stomana Industry AD,1400,1,603655.6002061085,13.311,1,['Bulgaria'],42.595629,23.093095,1400,Pernik,Bulgaria,5585.156
Riva Acciaio SpA,1380,2,603655.6002061085,13.311,1,['Italy'],45.598187,9.035447,780,Province of Varese,Italy,7211.703
Nippon Steel Stainless Steel Corp,1366,2,1369220846.7925227,21.037,1,['Japan'],34.059009,131.777221,866,Yamaguchi,Japan,2.831
Hebei Huaxin Special Steel Co Ltd,1350,1,1439683054.8066726,21.088,1,['China'],36.53048,114.245262,1350,Hebei,China,4.393
New Zealand Steel Ltd,1350,1,1853170.5258897757,14.432,1,['New Zealand'],-37.206878,174.728098,1350,South Auckland,New Zealand,8381.599
ArcelorMittal Dofasco GP,1350,1,54845.716740088894,10.912,1,['Canada'],43.269255,-79.804858,1350,Ontario,Canada,16682.952
Atibir Industries Co Ltd,1350,1,510655890.86209947,20.051,1,['India'],24.145239,86.334999,1350,Jharkhand,India,5.091
Antara Steel Mills Sdn Bhd,1350,1,41976974.40122482,17.553,1,['Malaysia'],5.253839,115.242717,1350,Labuan Island,Malaysia,1599.669
Xinjiang Kunyu Lron & Steel Co Ltd,1350,1,499486217.0650745,20.029,1,['China'],44.404189,84.966753,1350,Xinjiang,China,4.643
Nu-Iron Unlimited,1350,1,64633.832128563045,11.077,1,['Trinidad and Tobago'],10.399138,-61.486326,1350,Couva,Trinidad and Tobago,14519.842
Hebei New Wuan Lron and Steel Group Hong Rong Lron and Steel Co Ltd,1350,1,188809636.46592227,19.056,1,['China'],36.640411,113.981172,1350,Hebei,China,3.322
Companhia Siderurgica do Cuchi SA,1350,1,93191842.22818245,18.35,1,['Angola'],-14.650166,16.925606,1350,Cuando Cubango,Angola,7146.419
Complejo Siderurgico de Guayana CA,1350,1,64633.832128563045,11.077,1,['Venezuela'],8.297662,-62.780149,1350,Bolívar,Venezuela,14689.915
Corporacion Venezolana de Guayana,1350,1,64633.832128563045,11.077,1,['Venezuela'],8.290142,-62.805419,1350,Bolívar,Venezuela,14692.81
CVG Ferrominera Orinoco CA,1350,1,64633.832128563045,11.077,1,['Venezuela'],8.33468,-62.728842,1350,Bolívar,Venezuela,14683.742
Prakash Sponge Iron and Power Pvt Ltd,1350,1,10655640.702493113,16.182,1,['India'],14.152912,76.665824,1350,Karnataka,India,5.561
Mianeh Steel,1350,1,603655.6002061085,13.311,1,['Iran'],37.37881,47.736689,1350,East Azerbaijan,Iran,2778.908
Persian Gulf Saba Steel,1350,1,54845.716740088894,10.912,1,['Iran'],27.189076,56.105633,1350,Hormuzgan,Iran,1407.96
Nucor Steel Louisiana LLC,1350,1,54845.716740088894,10.912,1,['United States'],30.076693,-90.859953,1350,Louisiana,United States,17724.362
Tata Metaliks Ltd,1350,1,2985882028.961829,21.817,1,['India'],22.385611,87.287179,1350,West Bengal,India,1.372
Ramsarup Industries Ltd,1350,1,3789988245.8372393,22.056,1,['India'],22.977477,88.457443,1350,West Bengal,India,2.317
GuangDong Xinxing Ductile Iron Pipes Co Ltd,1350,1,126961940.125218,18.659,1,['China'],22.09914,111.665479,1350,Guangdong,China,5.474
Sovel SA,1350,1,54845.716740088894,10.912,1,['Greece'],39.169632,22.840216,1350,Thessaly,Greece,5434.834
Wuxi Xinsanzhou Special Steel Co Ltd,1350,1,11935089663.247892,23.203,1,['China'],31.681005,120.251785,1350,Jiangsu,China,5.7
Vedanta Iron and Steel Ltd,1350,1,607137556.302787,20.224,1,['India'],15.526866,73.986671,1350,Goa,India,3.588
Honghe Iron and Steel Co Ltd,1350,1,1145833787.5269697,20.859,1,['China'],23.470733,103.272784,1350,Yunnan,China,2.585
Tongling Fuxin Iron & Steel Co Ltd,1350,1,6386761084.181079,22.577,1,['China'],30.907561,117.772866,1350,Anhui,China,4.714
Jiangsu Delong Nickel Industry Co Ltd,1350,1,890142435.6329616,20.607,1,['China'],34.443469,119.816574,1350,Jiangsu,China,3.423
JiLin Province Xinda Steel Co Ltd,1350,1,15053158.02973983,16.527,1,['China'],42.3249,125.246892,1350,Jilin,China,6.592
Gohar Zamin Iron Ore Co,1350,1,54845.716740088894,10.912,1,['Iran'],29.134614,55.360773,1350,Kerman,Iran,1572.875
Ahya Steel Folad Baft Co,1350,1,54845.716740088894,10.912,1,['Iran'],29.289109,56.490707,1350,Kerman,Iran,1468.385
WISCO Group Kunming Steel Co Ltd,1350,1,401331048.2710037,19.81,1,['China'],24.953261,102.378082,1350,Yunnan,China,0.711
JSW Green Steel Ltd,1350,1,5087801.004416001,15.442,1,['India'],18.530853,72.947091,1350,Maharashtra,India,8.604
Ardakan Steel Complex Co,1350,1,603655.6002061085,13.311,1,['Iran'],32.373942,53.759655,1350,Yazd,Iran,1881.482
Shanxi HUAQIANG Iron and Steel Co Ltd,1350,1,402152281.1129497,19.812,1,['China'],35.670848,111.378887,1350,Shanxi,China,5.156
Hyron Africa,1350,1,1123434325.1185768,20.84,1,['Namibia'],-22.084183,17.4099154,1350,unknown,Namibia,7469.733
Guangxi Liugang Zhongjin Stainless Steel Co Ltd,1350,1,221366537.43015066,19.215,1,['China'],21.67261,109.741866,1350,Guangxi,China,5.679
Tata Steel (Thailand) PCL,1350,2,107232.4190322772,11.583,1,['Thailand'],13.052398,101.086795,800,Chonburi,Thailand,895.618
Iranian Ghadir Iron & Steel Co,1350,1,603655.6002061085,13.311,1,['Iran'],32.3912,53.7496,1350,Yazd,Iran,1883.342
Shanxi Zhongsheng Iron and Steel Co Ltd,1350,1,224177109.58702946,19.228,1,['China'],35.727776,111.330122,1350,Shanxi,China,5.043
Hebei PROVINCE Longfengshan Casting Industry Co Ltd,1350,1,2791499561.2492723,21.75,1,['China'],36.705105,114.105387,1350,Hebei,China,2.229
Fushun HANWANG Direct Reduced Iron Co Ltd,1350,1,26636182.46122891,17.098,1,['China'],41.670998,123.85143,1350,Liaoning,China,6.153
Fujian San'an Iron & Steel Co Ltd,1350,1,1080493062.2097301,20.801,1,['China'],25.244396,118.029905,1350,Fujian,China,4.627
Sabzevar Pars Steel Complex,1350,1,974778.8698073986,13.79,1,['Iran'],36.58952,57.571719,1350,Razavi Khorasan,Iran,1815.709
Henan Fengbao SPECIAL Steel Co Ltd,1350,1,1250100343.4634068,20.946,1,['China'],36.131666,113.872158,1350,Henan,China,0.972
Briquetera del Orinoco CA,1350,1,64633.832128563045,11.077,1,['Venezuela'],8.274965,-62.819282,1350,Bolívar,Venezuela,14694.549
Inner Mongolia Desheng Metal Products Co Ltd,1350,1,111523145.34028804,18.53,1,['China'],39.867015,106.890377,1350,Inner Mongolia,China,2.067
Shaanxi Lueyang Iron and Steel Co Ltd,1350,1,32314098.785076372,17.291,1,['China'],33.323678,106.167206,1350,Shaanxi,China,6.256
Andrade Valladares Engenharia e Construcao Ltda,1350,1,64633.832128563045,11.077,1,['Brazil'],-4.887877,-47.392157,1350,Maranhão,Brazil,13273.269
Lebedinskiy GOK JSC,1350,1,69838.97000546272,11.154,1,['Russia'],51.261995,37.654622,1350,Belgorod,Russia,4427.259
Electrosteel Castings Ltd,1350,1,142335900.08133274,18.774,1,['India'],13.717188,79.630588,1350,Andhra Pradesh,India,1.19
Wulanhot Iron & Steel Co Ltd,1350,1,3362380016.537606,21.936,1,['China'],46.055685,122.063282,1350,Inner Mongolia,China,3.293
Wugang Zhongjia Iron & Steel Co Ltd,1350,1,642394331.888709,20.281,1,['China'],33.29175,113.458011,1350,Henan,China,0.038
KIC Metaliks Ltd,1350,1,1554639245.0040002,21.165,1,['India'],23.507539,87.277914,1350,West Bengal,India,4.417
Xinjiang KingTec Steel Co Ltd,1334,1,93932.5409826021,11.45,1,['China'],42.674192,86.280156,1334,Xinjiang,China,5.327
Guizhou Ganglian Industrial Group Co Ltd,1325,1,3047624310.877063,21.838,1,['China'],27.615147,106.949926,1325,Guizhou,China,1.552
Interpipe Ltd,1320,1,293.8831668379416,5.687,1,['Ukraine'],48.498914,35.096336,1320,Dnipropetrovsk,Ukraine,4520.065
Yesilyurt Demir Celik Endustri Ve Liman Isletmeleri AŞ,1300,1,293.8831668379416,5.687,1,['Türkiye'],41.241199,36.442055,1300,Samsun,Türkiye,4148.949
Diler Demir Celik Endustri ve Ticaret AŞ,1300,1,603655.6002061085,13.311,1,['Türkiye'],40.783161,29.533568,1300,Kocaeli,Türkiye,4819.306
AG Siderurgica Balboa SA,1300,1,54845.716740088894,10.912,1,['Spain'],38.326405,-6.767326,1300,Badajoz,Spain,8557.01
Siderurgica Sevillana SA,1300,1,54845.716740088894,10.912,1,['Spain'],37.362968,-5.886865,1300,Sevilla,Spain,8432.182
Hengyang Valin Steel Tube Co Ltd,1300,1,8841440925.872505,22.903,1,['China'],26.865484,112.576853,1300,Hunan,China,4.093
Sulb Company BSCC,1265,1,54845.716740088894,10.912,1,['Bahrain'],26.198152,50.679893,1265,Muharraq,Bahrain,1972.027
Ekinciler Demir ve Celik Sanayi AŞ,1250,1,603655.6002061085,13.311,1,['Türkiye'],36.690115,36.205739,1250,Hatay,Türkiye,3918.019
MZ Balakovo JSC,1250,1,69838.97000546272,11.154,1,['Russia'],51.936009,47.81591,1250,Saratov,Russia,3491.249
Corporacion Aceros Arequipa SA,1250,1,64633.832128563045,11.077,1,['Peru'],-13.788622,-76.168173,1250,Ica,Peru,16626.337
Acciaierie di Verona SpA,1250,1,603655.6002061085,13.311,1,['Italy'],45.42882,11.000861,1250,Province of Verona,Italy,6997.947
Mass Iraq Iron and Steel Industry Co,1250,1,603655.6002061085,13.311,1,['Iraq'],35.660125,45.039062,1250,Kurdistan,Iraq,2946.66
Tubos de Acero de Mexico SA,1230,1,64633.832128563045,11.077,1,['Mexico'],19.182499,-96.237284,1230,Veracruz,Mexico,18313.712
Feralpi Siderurgica SpA,1216,1,603655.6002061085,13.311,1,['Italy'],45.460582,10.456748,1216,Province of Brescia,Italy,7056.21
Fujian Longgang New Materials Co Ltd,1210,1,81212030.76822813,18.213,1,['China'],25.357408,117.362096,1210,Fujian,China,2.6
Charter Manufacturing Co Inc,1205,2,54845.716740088894,10.912,1,['United States'],41.443147,-81.659911,635,Ohio,United States,16846.526
Solb Steel Co,1200,1,64633.832128563045,11.077,1,['Saudi Arabia'],17.298475,42.352338,1200,Jizan Region,Saudi Arabia,2974.937
Zhejiang Wantai Special Steel Co Ltd,1200,1,3208888731.268896,21.889,1,['China'],30.944342,120.971803,1200,Zhejiang,China,2.355
Egyptian Steel Group,1200,2,54845.716740088894,10.912,1,['Egypt'],29.64769,32.2789,600,Suez,Egypt,4063.964
Chadormalu Mining & Industrial Co,1200,1,603655.6002061085,13.311,1,['Iran'],32.387328,53.747706,1200,Yazd,Iran,1883.356
Egyptian American Steel Rolling Company SAE,1200,1,54845.716740088894,10.912,1,['Egypt'],30.389174,30.571894,1200,Menofia,Egypt,4268.296
Celsa France SAS,1200,1,54845.716740088894,10.912,1,['France'],43.529693,-1.500971,1200,Nouvelle-Aquitaine,France,8201.551
Moon Iron and Steel Company SAOC,1200,1,54845.716740088894,10.912,1,['Oman'],24.409437,56.520134,1200,Al Batinah North,Oman,1302.757
Bafgh Mineral Complex Iron & Steel Co,1200,1,603655.6002061085,13.311,1,['Iran'],31.699307,55.440187,1200,Yazd,Iran,1675.164
Hebei YongYang Special Steel Group Co Ltd,1200,1,364664534.1041899,19.714,1,['China'],36.786851,114.376132,1200,Hebei,China,0.681
Ege Celik Endustrisi Sanayi ve Ticaret AŞ,1200,1,603655.6002061085,13.311,1,['Türkiye'],38.728005,26.940095,1200,İzmir,Türkiye,4987.303
ArcelorMittal Eisenhüttenstadt GmbH,1200,1,293.8831668379416,5.687,1,['Germany'],52.168649,14.623473,1200,Brandenburg,Germany,6885.634
Sirjan Jahan Steel Co,1200,1,54845.716740088894,10.912,1,['Iran'],29.13806,55.375073,1200,Kerman,Iran,1571.611
Mesco Kalinga Steel Ltd,1200,1,864289310.3874147,20.577,1,['India'],20.976277,86.044419,1200,Odisha,India,2.161
Jayaswal Neco Industries Ltd,1200,1,1676028759.8407507,21.24,1,['India'],21.354495,81.676444,1200,Chhattisgarh,India,4.314
Hubei Xinxin Steel Group Co Ltd; natural person(s),1200,1,1002488417.5250294,20.726,1,['China'],30.067469,114.934091,1200,Hubei,China,4.277
Maghreb Steel SA,1200,1,54845.716740088894,10.912,1,['Morocco'],33.592793,-7.475613,1200,Casablanca-Settat,Morocco,8515.289
Huahong Iron and Steel Products Co Ltd,1200,1,468805622.32278705,19.966,1,['China'],28.090098,119.519509,1200,Zhejiang,China,5.048
Guilin Pinggang Iron and Steel Co Ltd,1200,1,33714093.6953855,17.333,1,['China'],24.673567,110.78959,1200,Guangxi,China,4.266
Ozkan Demir Celik Sanayi AŞ,1200,1,603655.6002061085,13.311,1,['Türkiye'],38.737005,26.950824,1200,İzmir,Türkiye,4986.565
Univers Acier,1200,1,54845.716740088894,10.912,1,['Morocco'],33.501325,-7.467363,1200,Casablanca-Settat,Morocco,8512.616
Tata Steel Long Products Ltd,1200,1,1938665923.5311012,21.385,1,['India'],22.812895,86.084022,1200,Jharkhand,India,5.233
SeAh Steel Holdings Corp,1200,1,3761696.9209812265,15.14,1,['South Korea'],35.991176,129.375791,1200,North Gyeongsang,South Korea,186.371
United Steel Industries Co KSCC,1200,1,54845.716740088894,10.912,1,['Kuwait'],28.989306,48.128118,1200,Capital Governorate,Kuwait,2324.065
Guangxi Guigang Iron and Steel Group Guigang Guibao SPECIAL Steel Co Ltd,1200,1,6503602261.824279,22.596,1,['China'],23.089502,109.63938,1200,Guangxi,China,4.585
Vina One Steel Manufacturing Corp,1200,1,36996681.54220746,17.426,1,['Vietnam'],10.636835,106.517595,1200,Long An,Vietnam,933.816
Nucor Steel Tuscaloosa Inc,1200,1,54845.716740088894,10.912,1,['United States'],33.234761,-87.508498,1200,Alabama,United States,17375.002
Acerinox Europa SAU,1200,1,54845.716740088894,10.912,1,['Spain'],36.181686,-5.426626,1200,Cádiz,Spain,8349.309
SeAH Changwon Integrated Special Steel Corp,1200,1,3761696.9209812265,15.14,1,['South Korea'],35.204191,128.604277,1200,South Gyeongsang,South Korea,116.376
AFV Acciaierie Beltrame SpA,1200,1,603655.6002061085,13.311,1,['Italy'],45.522097,11.499295,1200,Province of Vicenza,Italy,6951.756
Prakash Industries Ltd,1190,1,465552274.1725282,19.959,1,['India'],22.004694,82.671666,1190,Chhattisgarh,India,6.031
Hejin Huaxinyuan Steel & Iron Co Ltd,1150,1,1208145259.4777637,20.912,1,['China'],35.605506,110.652056,1150,Shanxi,China,4.025
Amurstal LLC,1150,1,1408179.277796899,14.158,1,['Russia'],50.563131,136.976362,1150,Khabarovsk,Russia,473.723
Guangxi Hezhou Kexinda Metal Products Co Ltd,1150,1,90031801.82740928,18.316,1,['China'],23.979937,111.745037,1150,Guangxi,China,4.86
Xinjiang Minxin Iron and Steel (Group) Minhang Special Steel Co Ltd,1110,1,1337515.1727294303,14.106,1,['China'],44.080866,88.417209,1110,Xinjiang,China,7.605
Neelachal Ispat Nigam Ltd,1100,1,864289310.3874147,20.577,1,['India'],20.998641,86.019102,1100,Odisha,India,5.422
Posco (Zhangjiagang) Stainless Steel Co Ltd,1100,1,5052871258.0219145,22.343,1,['China'],31.980237,120.571455,1100,Jiangsu,China,4.388
Koc Metalurji AŞ,1100,1,603655.6002061085,13.311,1,['Türkiye'],37.01488,36.104416,1100,Osmaniye,Türkiye,3943.39
GV do Brasil Industria e Comercio de Aço Ltda,1100,2,64633.832128563045,11.077,1,['Brazil'],-20.34291,-40.360864,600,Espírito Santo,Brazil,13087.529
Uzbekskiy Metallurgicheskiy Kombinat JSC,1100,1,293.8831668379416,5.687,1,['Uzbekistan'],40.233432,69.290873,1100,Tashkent,Uzbekistan,501.379
Siam Yamato Steel Co Ltd,1100,2,107232.4190322772,11.583,1,['Thailand'],12.674898,101.147002,600,Rayong,Thailand,903.745
Stahlwerk Thueringen GmbH,1100,1,293.8831668379416,5.687,1,['Germany'],50.654574,11.43745,1100,Thuringia,Germany,7152.088
Jilinheng Precision Casting Technology Co Ltd,1100,1,10768816.011382872,16.192,1,['China'],43.196537,126.00063,1100,Jilin,China,4.911
Acciaierie Bertoli Safau SpA,1100,1,293.8831668379416,5.687,1,['Italy'],46.008483,13.255117,1100,Province of Udine,Italy,6797.037
Gaolan County Lanxin Steel Co Ltd,1100,1,4705947.349746395,15.364,1,['China'],36.488866,103.922,1100,Gansu,China,5.85
ArcelorMittal Hamburg GmbH,1100,1,293.8831668379416,5.687,1,['Germany'],53.522601,9.900749,1100,Hamburg,Germany,7462.472
SN SEIXAL Siderurgia Nacional SA,1100,1,54845.716740088894,10.912,1,['Portugal'],38.616023,-9.068527,1100,Setúbal,Portugal,8815.967
ABA Çelik Demir LŞ,1100,1,603655.6002061085,13.311,1,['Türkiye'],36.747413,36.21733,1100,Hatay,Türkiye,3919.357
Sterling Steel Co LLC,1090,1,54845.716740088894,10.912,1,['United States'],41.785971,-89.710947,1090,Illinois,United States,17741.321
Metallus Inc,1088,1,54845.716740088894,10.912,1,['United States'],40.755388,-81.439369,1088,Ohio,United States,16808.384
ArcelorMittal Kryvyi Rih PJSC,1083,1,293.8831668379416,5.687,1,['Ukraine'],47.874411,33.392993,1083,Dnipropetrovsk,Ukraine,4669.774
Ovako AB,1075,2,69838.97000546272,11.154,2,"['Finland', 'Sweden']",61.149466,28.798774,575,Imatra,Finland,6301.958
GPH Ispat Ltd,1051,1,14497025.329727666,16.489,1,['Bangladesh'],22.536569,91.700729,1051,Chittagong,Bangladesh,60.994
Eden Flame Sdn Bhd,1050,1,33214.740917487085,10.411,1,['Malaysia'],1.451512,103.917306,1050,Johor,Malaysia,1271.385
Yazici Demir Celik Sanayi ve Turizm Ticaret AŞ,1050,1,603655.6002061085,13.311,1,['Türkiye'],36.685932,36.206275,1050,Hatay,Türkiye,3917.776
Siderurgica del Orinoco Alfredo Maneiro CA,1020,1,64633.832128563045,11.077,1,['Venezuela'],8.259073,-62.841126,1020,Bolívar,Venezuela,14697.18
Xinjiang Ka Steel Group Co,1000,1,4239302.117930701,15.26,1,['China'],39.142997,76.161589,1000,Xinjiang,China,4.823
HES Hennigsdorfer Elektrostahlwerke GmbH,1000,1,293.8831668379416,5.687,1,['Germany'],52.650903,13.212683,1000,Brandenburg,Germany,7061.955
Tung Ho Steel Vietnam Corp Ltd,1000,1,36996681.54220746,17.426,1,['Vietnam'],10.551445,107.04368,1000,Ba Ria Vung Tau,Vietnam,927.28
Bonab Steel Complex,1000,1,603655.6002061085,13.311,1,['Iran'],37.417437,46.035778,1000,East Azerbaijan,Iran,2948.23
Ezz Steel Co,1000,1,54845.716740088894,10.912,1,['Egypt'],30.382179,30.563029,1000,Menofia,Egypt,4269.092
KG Steel Co Ltd,1000,1,279339677.23283786,19.448,1,['South Korea'],37.482625,126.670175,1000,Seoul National Capital Area,South Korea,441.501
Wuzhou Yongda Special Steel Co Ltd,1000,1,607979569.3111423,20.226,1,['China'],23.520307,111.229981,1000,Guangxi,China,3.54
Jingzhou Qunli Metal Products Co Ltd,1000,1,118075214.85034539,18.587,1,['China'],30.3505,112.353782,1000,Hubei,China,3.946
Xinjiang Da'an Special Steel Co Ltd,1000,1,21656190.748155303,16.891,1,['China'],42.700465,93.542466,1000,Xinjiang,China,1.195
Henan YAXIN Steel Industry Co Ltd,1000,1,1630271672.3960836,21.212,1,['China'],35.879956,114.334825,1000,Henan,China,4.524
Jiangxi Taixin Iron & Steel Co Ltd,1000,1,24651705.83317486,17.02,1,['China'],28.60445,118.163615,1000,Jiangxi,China,5.027
Daehan Steel Co Ltd,1000,1,3761696.9209812265,15.14,1,['South Korea'],35.099098,128.860339,1000,South Gyeongsang,South Korea,86.136
Arfa Iron and Steel Co,1000,1,603655.6002061085,13.311,1,['Iran'],32.39309,53.7566,1000,Yazd,Iran,1882.704
Iranian Sirjan Steel Co,1000,1,603655.6002061085,13.311,1,['Iran'],29.928062,56.736539,1000,Kerman,Iran,1469.051
Devki Steel Mills Ltd,1000,1,45384541.23845344,17.631,1,['Kenya'],-3.77734,39.279963,1000,Kwale County,Kenya,4372.27
Xinjiang Yili Iron and Steel Co Ltd,1000,1,36347068.67769812,17.409,1,['China'],43.526808,83.294323,1000,Xinjiang,China,2.301
Ashinskiy Metzavod PJSC,1000,1,53608.378286734944,10.889,1,['Russia'],54.99484,57.277548,1000,Chelyabinsk,Russia,3069.529
Yieh United Steel Corp,1000,1,6424764739.207487,22.583,1,['Taiwan'],22.830857,120.300604,1000,Kaohsiung,Taiwan,287.044
Dazhou Hangda Steel Co Ltd,1000,1,49607605.43538932,17.72,1,['China'],31.435149,107.685981,1000,Sichuan,China,3.917
Vallourec Soluções Tubulares do Brasil SA,1000,1,64633.832128563045,11.077,1,['Brazil'],-20.582683,-43.971555,1000,Minas Gerais,Brazil,13470.245
Peiner Traeger GmbH,1000,1,293.8831668379416,5.687,1,['Germany'],52.313935,10.258482,1000,Lower Saxony,Germany,7358.048
Anhui Langxi County Fuhang Steel Co Ltd,1000,1,86904812.1034762,18.28,1,['China'],31.246635,119.120443,1000,Anhui,China,5.012
PT Mandan Steel,1000,1,41976974.40122482,17.553,1,['Indonesia'],-3.339296,115.927125,1000,South Kalimantan,Indonesia,2530.425
Posco Vietnam Co Ltd,1000,1,36996681.54220746,17.426,1,['Vietnam'],10.560316,107.02684,1000,Ba Ria Vung Tau,Vietnam,926.757
Mescier Demir Celik AŞ,1000,1,603655.6002061085,13.311,1,['Türkiye'],41.565932,32.427758,1000,Bartin,Türkiye,4571.594
Outokumpu Stainless USA LLC,1000,1,54845.716740088894,10.912,1,['United States'],31.148179,-87.98866,1000,Alabama,United States,17411.766
National Steel Co,1000,1,54845.716740088894,10.912,1,['Saudi Arabia'],26.244786,49.969064,1000,Eastern Province,Saudi Arabia,2051.169
Nervacero SA,1000,1,54845.716740088894,10.912,1,['Spain'],43.30806,-3.026309,1000,Vizcaya,Spain,8351.668
Neyriz Ghadir Steel Co,1000,1,54845.716740088894,10.912,1,['Iran'],29.168087,54.621487,1000,Fars,Iran,1649.761
SUE DPR UMP,1000,1,293.8831668379416,5.687,1,['Ukraine'],47.982276,37.810634,1000,Donetsk,Ukraine,4206.122
Chizhou Guichi Guihang Metal Products Co Ltd,1000,1,189683194.67400867,19.061,1,['China'],30.532786,117.25166,1000,Anhui,China,4.599
Moldova Steel Works JSC,1000,1,293.8831668379416,5.687,1,['Moldova'],47.783771,29.02835,1000,Transnistria,Moldova,5133.748
Natanz Steel Co,999,1,603655.6002061085,13.311,1,['Iran'],33.428593,51.982273,999,Isfahan,Iran,2117.124
Fushun Special Steel Co Ltd,999,1,8540543698.927486,22.868,1,['China'],41.838774,123.806586,999,Liaoning,China,5.663
Topy Industries Ltd,960,1,6515425440.511312,22.597,1,['Japan'],34.719644,137.322259,960,Aichi,Japan,3.734
Fujian Qingtuo New Material Co Ltd,958,1,11794218.386546498,16.283,1,['China'],26.779301,119.767935,958,Fujian,China,11.058
Duferco Travi e Profilati SpA,950,1,603655.6002061085,13.311,1,['Italy'],45.478363,10.209234,950,Province of Brescia,Italy,7082.919
